Date,Time,Server1_meter1_avg,Server1_meter1_min,Server1_meter1_max,Server1_meter2_avg,Server1_meter2_min,Server1_meter2_max,Server1_meter3_avg,Server1_meter3_min,Server1_meter3_max,Server1_meter4_avg,Server1_meter4_min,Server1_meter4_max,Server1_meter5_avg,Server1_meter5_min,Server1_meter5_max,Server1_meter6_avg,Server1_meter6_min,Server1_meter6_max,Server1_meter7_avg,Server1_meter7_min,Server1_meter7_max,Server1_meter8_avg,Server1_meter8_min,Server1_meter8_max,Server1_meter9_avg,Server1_meter9_min,Server1_meter9_max,Server1_meter10_avg,Server1_meter10_min,Server1_meter10_max,Server1_meter11_avg,Server1_meter11_min,Server1_meter11_max,Server1_meter12_avg,Server1_meter12_min,Server1_meter12_max,Server1_meter13_avg,Server1_meter13_min,Server1_meter13_max,Server2_meter1_avg,Server2_meter1_min,Server2_meter1_max,Server2_meter2_avg,Server2_meter2_min,Server2_meter2_max,Server2_meter3_avg,Server2_meter3_min,Server2_meter3_max,Server2_meter4_avg,Server2_meter4_min,Server2_meter4_max,Server2_meter5_avg,Server2_meter5_min,Server2_meter5_max,Server2_meter6_avg,Server2_meter6_min,Server2_meter6_max,Server3_meter1_avg,Server3_meter1_min,Server3_meter1_max,Server3_meter2_avg,Server3_meter2_min,Server3_meter2_max,Server3_meter3_avg,Server3_meter3_min,Server3_meter3_max,Server3_meter4_avg,Server3_meter4_min,Server3_meter4_max,Server3_meter5_avg,Server3_meter5_min,Server3_meter5_max,Server3_meter6_avg,Server3_meter6_min,Server3_meter6_max,1st_Floor,2nd_Floor,3rd_Floor,4th_Floor,Utilities,TOTAL,1st_Floor_Kwh,2nd_Floor_Kwh,3rd_Floor_Kwh,4th_Floor_Kwh,Utilities_Kwh,TOTAL_Kwh
05/16/2023,00:00,219.732,155.561,283.572,130.964,128.361,134.791,186.686,184.52,190.179,684.619,505.822,725.854,869.343,745.017,985.049,173.021,171.523,175.629,1051.217,994.273,1130.107,798.978,790.17,807.519,1823.645,1764.513,1927.158,542.642,585.217,524.413,602.195,409.515,1069.181,5065.03,3871.184,6881.748,2111.621,2019.304,2305.558,16628.609,16433.816,16940.256,3702.576,3633.705,3714.222,120.992,120.044,122.206,14713.845,12172.283,16192.416,3686.756,3503.51,4571.853,4801.787,4515.403,5320.002,2334.527,2128.263,3477.725,2076.96,2001.738,2185.331,2166.573,2072.258,2450.214,3066.727,2905.432,3354.652,529.506,525.613,533.234,108.083,107.503,108.734,2554.259,3675.631,6626.2080000000005,5250.192999999999,13815.138,31921.429,0.2128549166666666,0.3063025833333334,0.552184,0.4375160833333332,1.1512615000000002,2.660119083333333
05/16/2023,00:05,264.249,260.417,269.761,102.501,32.039,130.563,186.386,185.275,186.904,503.58,486.449,513.176,933.48,862.564,959.295,172.979,171.935,173.425,1044.126,998.856,1149.54,818.386,791.233,872.144,1712.743,1620.356,1771.045,542.685,567.958,530.659,591.666,410.714,913.302,3659.206,3265.215,4299.262,2076.088,2000.202,2205.501,16631.715,16429.594,16924.502,3806.246,3712.376,3824.682,1822.585,116.886,31033.557,14159.907,12265.896,15660.514,3723.674,3518.221,4527.954,4746.666,4489.453,5241.214,2127.74,2047.965,2232.665,2143.314,2015.933,2420.499,2278.182,2138.767,2412.045,2947.96,2859.562,3079.602,529.979,526.106,535.059,108.403,107.759,109.072,2391.989,3805.865,6208.409,5345.635,14241.759,31993.657,0.1993324166666666,0.3171554166666666,0.5173674166666666,0.4454695833333333,1.18681325,2.666138083333333
05/16/2023,00:10,266.621,265.275,267.646,32.125,30.07,33.239,218.456,186.294,241.147,507.18,499.342,516.717,833.423,658.25,871.106,173.826,172.785,174.741,1160.766,999.64,1384.902,803.667,791.588,820.766,1670.088,1610.308,1847.347,525.951,548.52,515.11,944.253,848.622,1747.361,3342.399,3249.852,3825.103,1946.429,1820.794,2175.092,16493.611,16431.43,16517.502,3764.822,3715.729,3826.783,120.353,119.803,121.057,14779.927,13241.365,16073.422,3812.244,3522.11,4537.583,5215.948,4517.333,6487.435,2340.241,2159.158,2486.208,2151.157,2017.255,2674.691,2222.317,2052.009,2409.113,2833.996,2767.314,2934.63,531.208,526.882,534.941,108.553,108.206,109.364,2606.862,3728.987,6172.030000000001,5146.239,12623.832,30277.950000000004,0.2172385,0.3107489166666666,0.5143358333333333,0.42885325,1.051986,2.5231625
05/16/2023,00:15,170.023,164.855,266.645,30.568,29.64,31.758,235.342,234.141,236.261,673.458,502.325,756.184,659.585,657.943,663.043,173.895,173.215,174.466,1039.905,989.818,1138.421,801.207,705.893,983.386,1523.734,1343.724,1703.721,494.062,531.623,471.672,2094.719,1542.144,2895.543,3296.138,2752.059,4503.783,1841.451,1706.986,2425.705,16274.821,16177.111,16454.766,3567.971,3525.005,3717.756,121.19,120.657,121.497,14672.635,13089.723,16122.174,3644.311,3250.247,4541.388,4681.015,4515.196,5334.31,2415.54,2218.848,2935.085,2046.959,1912.998,2368.239,2140.612,2050.0,2281.743,2787.924,2734.964,2826.382,530.465,527.958,533.282,108.481,108.041,108.99,2585.563,3435.9480000000003,6025.021,4957.165,13363.275,30366.972,0.2154635833333333,0.286329,0.5020850833333333,0.4130970833333333,1.11360625,2.530581
05/16/2023,00:20,167.072,165.805,171.396,30.542,29.22,31.281,381.186,168.252,964.852,701.045,670.474,717.627,660.152,658.224,665.665,173.744,173.251,175.07,1040.647,1007.652,1104.799,1041.174,909.264,1236.088,1441.388,1372.323,1512.094,519.633,552.175,507.445,2039.888,427.686,2913.94,3194.897,2760.608,4400.792,1779.793,1690.608,2112.25,15855.873,15791.313,16211.06,3469.376,3426.098,3528.371,121.024,120.712,121.42,14974.696,13041.279,16197.688,3508.7,3240.052,4275.176,5064.315,5012.46,5305.311,2534.462,2080.123,2869.252,1965.979,1922.726,2072.895,1926.133,1797.144,2084.667,2804.789,2622.253,2953.936,530.456,525.223,535.908,199.326,108.443,231.201,2701.534,3526.95,5987.869000000001,4920.844,13063.666999999998,30200.864,0.2251278333333333,0.2939125,0.4989890833333333,0.4100703333333333,1.0886389166666666,2.516738666666666
05/16/2023,00:25,165.814,164.341,166.888,30.645,29.604,31.339,153.673,121.843,168.389,490.596,462.5,696.746,883.001,658.669,1045.379,435.537,386.435,1388.199,1122.852,984.853,1341.002,925.06,905.079,1226.426,1375.995,1245.54,1493.044,545.309,554.988,530.604,824.888,432.038,1030.455,2918.675,2822.816,3207.729,1694.734,1613.724,2194.996,15967.179,15773.242,16368.735,3268.879,3222.937,3424.915,120.923,120.271,125.818,14571.638,13066.033,15708.771,3408.327,3242.657,4409.818,4694.66,4503.059,5308.22,2228.029,1994.25,2550.87,1838.847,1716.284,2051.209,1913.099,1830.766,2370.746,2856.042,2762.073,3033.379,531.69,528.121,534.695,206.517,204.806,208.541,2393.843,3420.83,5845.485000000001,4968.43,11279.899,27908.487,0.1994869166666666,0.2850691666666667,0.48712375,0.4140358333333334,0.9399915833333332,2.32570725
05/16/2023,00:30,164.51,164.008,165.187,30.599,29.512,31.566,122.03,121.806,122.452,476.91,464.331,489.857,869.318,866.268,873.429,383.278,380.174,387.317,1285.447,1217.266,1646.917,916.239,906.234,930.335,1260.647,1223.972,1410.069,527.65,546.984,519.687,603.567,413.558,901.309,3058.481,2831.061,3487.724,1693.142,1596.749,2061.016,15888.192,15590.906,16352.855,2961.802,2876.983,3225.874,120.776,120.239,121.402,15667.979,14024.875,17126.521,3415.078,3331.833,3951.755,4508.912,4501.148,4515.055,2431.774,2194.892,2602.272,1873.742,1682.94,2282.653,1993.651,1865.153,2095.478,2729.678,2607.479,2877.951,530.587,527.182,534.422,263.761,204.083,679.054,2596.284,3392.74,5752.682,4986.31,10954.052,27682.068,0.2163569999999999,0.2827283333333333,0.4793901666666667,0.4155258333333333,0.9128376666666664,2.306839
05/16/2023,00:35,163.45,162.366,164.122,89.491,30.113,147.676,121.893,121.633,122.216,569.791,464.094,712.991,865.224,863.363,867.701,379.308,375.8,382.109,1402.355,1202.571,1615.628,1047.115,911.247,1240.01,1266.931,1248.831,1386.043,528.002,548.455,518.244,755.622,414.774,1069.868,4741.497,3343.727,7080.514,1677.657,1610.65,2030.465,15712.303,15576.926,15856.274,3118.931,2924.045,3402.062,121.176,120.898,121.547,15767.987,14271.896,16953.215,3717.712,3345.056,4382.944,5087.481,4500.577,5772.55,2445.794,2197.292,2752.226,1822.162,1714.228,2043.984,1949.139,1861.484,2019.15,2577.395,2448.814,2716.699,532.29,526.663,535.753,166.406,153.907,251.593,2609.244,3337.281,5816.472,5053.219,13153.634,29969.85,0.2174369999999999,0.2781067499999999,0.484706,0.4211015833333333,1.0961361666666667,2.4974875
05/16/2023,00:40,163.125,161.839,164.372,130.201,127.921,132.494,121.719,120.796,122.698,670.621,666.409,678.897,667.932,657.153,861.967,510.582,174.742,1240.411,1262.772,1184.314,1311.276,917.309,908.0,926.841,1391.774,1358.572,1448.984,546.23,691.285,513.743,716.082,412.79,1025.85,5209.638,3360.396,7252.361,1646.157,1580.889,1922.086,16244.39,15826.066,16448.752,3568.61,3400.853,3719.848,3114.906,118.126,33901.359,14972.892,13089.979,16469.115,3640.191,3301.099,4460.475,4740.742,4494.357,5285.452,2603.811,2216.412,3014.314,1966.576,1900.914,2075.637,1860.56,1739.718,2225.393,2632.551,2487.866,2969.522,531.483,527.119,536.73,154.296,153.477,155.165,2766.936,3302.4570000000003,5957.718,4934.608,16935.206,33896.925,0.230578,0.27520475,0.4964765,0.4112173333333333,1.4112671666666667,2.82474375
05/16/2023,00:45,275.499,163.877,574.008,85.422,32.521,130.867,137.122,122.061,175.922,518.87,455.306,668.284,723.402,658.569,1697.615,174.904,174.403,175.437,1389.354,1186.722,1571.857,919.957,911.174,929.398,1466.348,1323.04,1894.478,520.304,540.034,511.585,711.41,415.5,939.234,3274.8,3218.182,3371.957,1713.405,1603.957,2064.02,16431.688,16384.277,16467.555,3725.109,3717.895,3786.619,121.262,120.979,121.556,15185.339,13463.242,16314.786,3772.423,3363.011,4521.954,5281.392,5049.713,5897.259,2629.446,2557.234,2663.282,2121.42,1857.007,2394.696,1866.638,1761.111,1990.063,2532.26,2504.165,2564.76,531.8,524.594,535.8,153.72,152.873,154.827,2904.945,3502.248,5906.832,4674.904,12290.523999999998,29279.453,0.2420787499999999,0.291854,0.492236,0.3895753333333333,1.0242103333333332,2.4399544166666667
